Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,334805269,107162537,0.0,1166331.0,0.0,105293510.0,0.0,702696.0,849.0,320074,3484.0,1180472555.0,3525848.0,Americas
India,Asia,1406631776,44992293,0.0,531886.0,0.0,44457720.0,0.0,2687.0,0.0,31986,378.0,930797975.0,661721.0,South-EastAsia
France,Europe,65584518,40105208,0.0,167424.0,0.0,39887439.0,0.0,50345.0,869.0,611504,2553.0,271490188.0,4139547.0,Europe
Germany,Europe,83883596,38428685,0.0,174352.0,0.0,38240600.0,0.0,13733.0,0.0,458119,2078.0,122332384.0,1458359.0,Europe
Brazil,South America,215353593,37625916,0.0,703291.0,0.0,36249161.0,0.0,673464.0,0.0,174717,3266.0,63776166.0,296146.0,Americas
Japan,Asia,125584838,33803572,0.0,74694.0,0.0,0.0,0.0,0.0,83.0,269169,595.0,100414883.0,799578.0,WesternPacific
S. Korea,Asia,51329899,31789625,0.0,34827.0,0.0,31506458.0,16808.0,248340.0,139.0,619320,678.0,15804065.0,307892.0,WesternPacific
Italy,Europe,60262770,25870833,0.0,190517.0,0.0,25560511.0,0.0,119805.0,66.0,429300,3161.0,272842036.0,4527539.0,Europe
UK,Europe,68497907,24618436,0.0,226278.0,0.0,24379552.0,1301.0,12606.0,0.0,359404,3303.0,522526476.0,7628357.0,Europe
Russia,Europe,145805947,22942458,0.0,399226.0,0.0,22379263.0,0.0,163969.0,0.0,157349,2738.0,273400000.0,1875095.0,Europe
Turkey,Asia,85561976,17232066,0.0,102174.0,0.0,0.0,0.0,0.0,0.0,201399,1194.0,162743369.0,1902052.0,Europe
Spain,Europe,46719142,13890555,0.0,121416.0,0.0,13718476.0,0.0,50663.0,231.0,297320,2599.0,471036328.0,10082298.0,Europe
Australia,Australia/Oceania,26068792,11622345,0.0,21062.0,0.0,11567426.0,0.0,33857.0,71.0,445834,808.0,81916639.0,3142326.0,WesternPacific
Vietnam,Asia,98953541,11616702,0.0,43206.0,0.0,10639075.0,0.0,934421.0,22.0,117396,437.0,85826548.0,867342.0,WesternPacific
Taiwan,Asia,23888595,10239998,0.0,19005.0,0.0,10220993.0,0.0,0.0,0.0,428656,796.0,30742304.0,1286903.0,WesternPacific
Argentina,South America,46010234,10054251,0.0,130509.0,0.0,9923742.0,0.0,0.0,363.0,218522,2837.0,35716069.0,776264.0,Americas
Netherlands,Europe,17211447,8610372,0.0,22992.0,0.0,8587380.0,0.0,0.0,53.0,500270,1336.0,25984435.0,1509718.0,Europe
Mexico,North America,131562772,7621062,0.0,334167.0,0.0,6869584.0,0.0,417311.0,0.0,57927,2540.0,20013810.0,152124.0,Americas
Iran,Asia,86022837,7612065,0.0,146278.0,0.0,7366948.0,0.0,98839.0,93.0,88489,1700.0,56728183.0,659455.0,EasternMediterranean
Indonesia,Asia,279134505,6809377,0.0,161811.0,0.0,6636636.0,0.0,10930.0,0.0,24395,580.0,114158919.0,408975.0,South-EastAsia
Poland,Europe,37739785,6517256,0.0,119619.0,0.0,5335940.0,0.0,1061697.0,125.0,172689,3170.0,38753907.0,1026871.0,Europe
Colombia,South America,51512762,6369916,0.0,142780.0,0.0,6190683.0,0.0,36453.0,342.0,123657,2772.0,36951507.0,717327.0,Americas
Greece,Europe,10316637,6086580,0.0,37014.0,0.0,6027005.0,2162.0,22561.0,115.0,589977,3588.0,102228365.0,9909078.0,Europe
Austria,Europe,9066710,6078537,0.0,22513.0,0.0,6051374.0,0.0,4650.0,14.0,670424,2483.0,211273524.0,23302116.0,Europe
